a 啊 阿 嗄 腌 锕 
a#ba 阿爸 
fu#ke#zhang 副科长 
fu#ken 复垦 
fu#kua 浮夸 
fu#kuan 付款 
fu#lan 腐烂 
fu#lan#ke#lin 富兰克林 
fu#lao 父老 
fu#lao#xie#you 扶老携幼 
fu#li 福利 富丽 
fu#li#shi#zhang 副理事长 
fu#li#tang#huang 富丽堂皇 
fu#lian 妇联 
fu#liao 辅料 
fu#ling 涪陵 
fu#lu 俘虏 附录 
fu#luo#lun#sa 佛罗伦萨 
fu#mi#shu#zhang 副秘书长 
fu#mian 拂面 负面 
fu#mie 覆灭 
fu#min 富民 
fu#ming 复明 
fu#mo 抚摸 覆膜 
fu#mu 父母 
fu#mu#guan 父母官 
fu#mu#qin 父母亲 
fu#niu#shan 伏牛山 
fu#nong 富农 
fu#nv 父女 妇女 
fu#nv#jie 妇女节 
fu#pin 扶贫 
fu#pin#ji#kun 扶贫济困 
fu#qi 夫妻 扶起 服气 福气 负起 
fu#qi#lai 富起来 
fu#qian 肤浅 付钱 
fu#qiang 腹腔 富强 
fu#qiao 浮桥 
fu#qin 父亲 
fu#qing 付清 
fu#qu 拂去 
fu#quan#you 傅全有 
fu#rao 富饶 
fu#ren 夫人 赴任 富人 妇人 
fu#rong 芙蓉 
fu#ru#jie#zhi 妇孺皆知 
fu#sai 复赛 
fu#sang 扶桑 
fu#se 肤色 
fu#shang 负伤 富商 附上 
fu#she 敷设 辐射 
fu#she#li 辐射力 
fu#she#mian 辐射面 
fu#she#neng 辐射能 
fu#she#yuan 辐射源 
fu#she#zhang 副社长 
fu#shen 俯身 复审 
fu#sheng 复生 
fu#sheng#zhang 副省长 
fu#shi 服侍 服饰 俯视 腐蚀 副食 赋诗 富士 
fu#shi#jie#shi 俯拾皆是 
fu#shi#pin 副食品 
fu#shi#xing 腐蚀性 
fu#shi#zhang 副师长 副市长 
fu#shou 扶手 福寿 俯首 副手 
fu#shu 服输 负数 富庶 附属 
fu#shu#ji 副书记 
fu#shu#wu 附属物 
fu#shui 赋税 腹水 
fu#shun 抚顺 
fu#si#ling 副司令 
fu#si#ling#yuan 副司令员 
fu#si#zhang 副司长 
fu#su 复苏 
fu#tang#dao#huo 赴汤蹈火 
fu#ti 扶梯 
fu#ting#zhang 副厅长 
fu#tong 腹痛 
fu#tou 斧头 
fu#tu 附图 
fu#tuan#zhang 副团长 
fu#wei 抚慰 复位 
fu#wei#ji#kun 扶危济困 
fu#wei#yuan#zhang 副委员长 
fu#weng 富翁 
fu#wu 服务 
fu#wu#fei 服务费 
fu#wu#qi 服务器 
fu#wu#she 服务社 
fu#wu#tai 服务台 
fu#wu#tuan 服务团 
fu#wu#xing 服务性 
fu#wu#ye 服务业 
fu#wu#yuan 服务员 
fu#wu#zhan 服务站 
fu#xi 复习 付息 
fu#xian 浮现 复线 
fu#xian#zhang 副县长 
fu#xiang#lian#pian 浮想联翩 
fu#xiao 拂晓 
fu#xiao#ying 负效应 
fu#xiao#zhang 副校长 
fu#xin 复信 阜新 
fu#xing 服刑 复兴 
fu#xing#men 复兴门 
fu#xiu 腐朽 
fu#xu 抚恤 
fu#xu#jin 抚恤金 
fu#xue 复学 
fu#yan 敷衍 赴宴 
fu#yan#jiu#yuan 副研究员 
fu#yan#liao#shi 敷衍了事 
fu#yan#sai#ze 敷衍塞责 
fu#yang 扶养 抚养 阜阳 
fu#yang#fei 抚养费 
fu#yao 服药 
fu#yao#zhi#shang 扶摇直上 
fu#ye 副业 
fu#yi 服役 辅以 复议 
fu#yin 福音 复印 
fu#yin#jian 复印件 
fu#yong 服用 附庸 
fu#you 浮游 负有 富有 妇幼 
fu#yu 抚育 赋予 负于 富于 富余 富裕 
fu#yuan 幅员 复原 复员 
fu#yuan#liao#kuo 幅员辽阔 
fu#yuan#zhang 副院长 
fu#yun 浮云 
fu#za 复杂 
fu#za#hua 复杂化 
fu#za#xing 复杂性 
fu#zai 浮在 负载 
fu#zao 浮躁 
fu#ze 负责 
fu#ze#ren 负责人 负责任 
fu#ze#zhi 负责制 
fu#zhai 负债 
fu#zhe 覆辙 负者 
fu#zhen#zhang 副镇长 
fu#zheng 扶正 
fu#zheng#qu#xie 扶正祛邪 
fu#zhi 扶植 扶志 福祉 副职 复职 复制 
fu#zhi#dong#liu 付之东流 
fu#zhi#pin 复制品 
fu#zhi#yi#ju 付之一炬 
fu#zhong 浮肿 负重 附中 
fu#zhou 福州 
fu#zhu 扶助 辅助 付诸 
fu#zhu#dong#liu 付诸东流 
fu#zhu#ren 副主任 
fu#zhu#ren#wei#yuan 副主任委员 
fu#zhu#shi#shi 付诸实施 
fu#zhu#xi 副主席 
fu#zhu#xing 辅助性 
fu#zhuan 复转 
fu#zhuang 服装 
fu#zhuang#she#ji 服装设计 
fu#zhuo 附着 
fu#zhuo#li 附着力 
fu#zi 父子 
fu#zi#miao 夫子庙 
fu#zong 副总 
fu#zong#cai 副总裁 
fu#zong#gong#cheng#shi 副总工程师 
fu#zong#jing#li 副总经理 
fu#zong#li 副总理 
fu#zong#tong 副总统 
fu#zong#zhi#hui 副总指挥 
fu#zu 富足 
fu#zu#zhang 副组长 
fu#zuo 辅佐 
fu#zuo#yong 副作用 
ga 噶 嘎 胳 夹 咖 轧 伽 尬 呷 尕 尜 旮 
ga#la 旮旯 
ga#ma γ 
gai 该 改 概 钙 盖 溉 芥 丐 陔 垓 赅 
gai#an 该案 
gai#ban 改版 
gai#bao 该报 
gai#bian 改编 改变 
gai#bing 该病 
gai#bu 该部 
gai#chang 该场 该厂 
gai#che 该车 
gai#cheng 改称 改成 改乘 
gai#cun 该村 
gai#dang 该党 
gai#dao 该岛 改道 
gai#di 该地 
gai#dian 该店 
gai#diao 改掉 
gai#dong 改动 
gai#duan 该段 
gai#dui 该队 
gai#fang 盖房 
gai#gao 改稿 
gai#ge 改革 
gai#ge#jia 改革家 
gai#ge#zhe 改革者 
gai#guan 该关 该馆 改观 
gai#guo 该国 改过 
gai#hang 该行 改行 
gai#hao 盖好 
gai#huan 改换 
gai#hui 该会 
gai#ji 该机 
gai#jia 改嫁 
gai#jian 改建 
gai#jiang 该奖 
gai#jin 改进 
gai#ju 该局 该剧 
gai#kan 该刊 
gai#kuang 该矿 概况 
gai#kuo 概括 
gai#lei 该类 
gai#liang 改良 
gai#lun 概论 
gai#lv 概率 
gai#mao 概貌 
gai#ming 改名 
gai#nian 概念 
gai#pan 改判 
gai#pian 该片 
gai#qi 盖起 
gai#qu 该区 
gai#ren 改任 
gai#shan 改善 
gai#shang 盖上 
gai#she 该社 
gai#sheng 该省 
gai#shi 该市 盖世 
gai#shu 该书 概述 
gai#suan 概算 
gai#suo 该所 
gai#tai 该台 
gai#tian#huan#di 改天换地 
gai#tou 盖头 
gai#tou#huan#mian 改头换面 
gai#tuan 该团 
gai#wei 改为 
gai#xi 该系 
gai#xian 该县 
gai#xian#geng#zhang 改弦更张 
gai#xian#yi#zhe 改弦易辙 
gai#xiang 该项 
gai#xiao 该校 
gai#xie 改写 
gai#xing 改型 
gai#xuan 改选 
gai#yao 概要 
gai#yong 改用 
gai#you 盖有 
gai#yuan 该院 
gai#zao 改造 
gai#zhang 盖章 
gai#zhen 该镇 
gai#zheng 改正 
gai#zhi 改制 钙质 
gai#zhong 改种 
gai#zhou 该州 
gai#zhu 盖住 
gai#zhuang 改装 
gai#zi 盖子 
gai#zu 改组 
gai#zuo 改作 
gan 干 甘 杆 柑 竿 肝 赶 感 秆 敢 赣 筸 乾 坩 苷 尴 擀 泔 淦 绀 橄 旰 矸 疳 酐 
gan#ai 肝癌 
gan#bei 干杯 
gan#bing 肝病 
gan#bu 干部 
gan#bu#shang 赶不上 
gan#cao 干草 甘草 
gan#chang 赶场 
gan#chao 赶超 
gan#cheng 杆秤 
gan#chu 干出 赶出 感触 
gan#chun 甘醇 
gan#cui 干脆 
gan#da#lei 干打垒 
gan#dan 肝胆 
gan#dan#xiang#zhao 肝胆相照 
gan#dang 甘当 
gan#dao 干道 赶到 感到 
gan#de#hao 干得好 
gan#dong 感动 
gan#fen 干粉 
gan#fu 赶赴 
gan#ga 尴尬 
gan#gan#jing#jing 干干净净 
gan#guan 感官 
gan#guang 感光 
gan#guo 干果 赶过 
gan#han 干旱 
gan#hao 干好 
gan#he 干涸 
gan#hua 感化 
gan#huai 感怀 
gan#hui 赶回 
gan#hui#lai 赶回来 
gan#huo 干活 
gan#ji 赶集 感激 
gan#jin 干劲 赶紧 
gan#jing 干警 干净 
gan#jing#li#luo 干净利落 
gan#ju 柑橘 
gan#jue 感觉 
gan#jue#dao 感觉到 
gan#jun 杆菌 
gan#kai 感慨 
gan#kai#wan#qian 感慨万千 
gan#kao 赶考 
gan#ke 干渴 
gan#ku 干枯 甘苦 
gan#kuai 赶快 
gan#lai 赶来 
gan#lan 橄榄 
gan#lan#qiu 橄榄球 
gan#lan#you 橄榄油 
gan#lian 干练 
gan#liang 干粮 
gan#lie 干裂 
gan#lin 甘霖 
gan#liu 干流 
gan#lu 赶路 
gan#ma 干嘛 干吗 
gan#mang 赶忙 
gan#mao 感冒 
gan#nan 赣南 
gan#pei 感佩 
gan#qing 感情 
gan#qu 赶去 
gan#quan 甘泉 
gan#qun 干群 
gan#ran 感染 
gan#ran#li 感染力 
gan#ran#lv 感染率 
gan#rao 干扰 
gan#rao#su 干扰素 
gan#ren 感人 
gan#ren#fei#fu 感人肺腑 
gan#ren#zhi#shen 感人至深 
gan#shang 干上 赶上 
gan#she 干涉 
gan#shen#me 干什么 
gan#shi 干事 
gan#shi#mao 赶时髦 
gan#shou 感受 
gan#su 甘肃 
gan#tan 感叹 
gan#tian 甘甜 
gan#wan 干完 
gan#wang 赶往 
gan#wei#ren#xian 敢为人先 
gan#wu 感悟 
gan#xi 干洗 
gan#xia 干下 
gan#xian 干线 
gan#xiang 感想 
gan#xiao 干校 
gan#xie 赶写 感谢 
gan#xie#xin 感谢信 
gan#xin 甘心 
gan#xing 感性 
gan#xing#qu 感兴趣 
gan#xiu#suo 干休所 
gan#yan 肝炎 
gan#ying 感应 
gan#ying#hua 肝硬化 
gan#yu 干预 甘于 敢于 
gan#yuan 甘愿 
gan#zang 肝脏 
gan#zao 干燥 赶早 
gan#zhao 感召 
gan#zhao#li 感召力 
gan#zhe 甘蔗 
gan#zhi 赶制 感知 
gan#zhou 赣州 
gan#zi 杆子 
gan#zou 赶走 
gang 冈 刚 钢 缸 肛 纲 岗 港 杠 扛 戆 罡 筻 
gang#ao 港澳 
gang#ao#ban 港澳办 
gang#ao#tai 港澳台 
gang#ban 钢板 
gang#bi 钢笔 港币 
gang#cai 刚才 钢材 
gang#chang 钢厂 
gang#cheng 钢城 
gang#dao 港岛 
gang#fang 港方 
gang#gan 杠杆 
gang#gang 刚刚 
gang#gu 港股 
gang#guan 钢管 
gang#gui 钢轨 
gang#guo 刚果 
gang#hao 刚好 
gang#jia 钢架 
gang#jian 刚健 
gang#jin 刚劲 钢筋 
gang#kou 港口 
gang#lan 钢缆 
gang#liang 钢梁 
gang#lie 刚烈 
gang#ling 纲领 杠铃 
gang#ling#xing 纲领性 
gang#men 肛门 
gang#pi 钢坯 
gang#qiang 刚强 钢枪 
gang#qin 钢琴 
gang#qin#jia 钢琴家 
gang#qu 港区 
gang#ren 港人 
gang#rou#xiang#ji 刚柔相济 
gang#shang 港商 
gang#si 钢丝 
gang#suo 钢索 
gang#tai 岗台 
gang#tie 钢铁 
gang#ting 岗亭 
gang#wan 港湾 
gang#wei 岗位 
gang#wu 港务 
gang#wu#ju 港务局 
gang#xing 刚性 
gang#yao 纲要 
gang#yi 刚毅 
gang#yuan 港元 
gang#zheng 刚正 
gao 篙 皋 高 膏 羔 糕 搞 镐 稿 告 睾 诰 郜 藁 缟 槔 槁 杲 锆 
gao#ang 高昂 
gao#biao#hao 高标号 
gao#biao#zhun 高标准 
gao#bie 告别 
gao#bu#ke#pan 高不可攀 
gao#bu#qing 搞不清 
gao#ceng 高层 
gao#ceng#ci 高层次 
gao#chan 高产 
gao#chang 高唱 
gao#chao 高超 高潮 
gao#chao#die#qi 高潮迭起 
gao#cheng 搞成 
gao#cheng#ben 高成本 
gao#chou 稿酬 
gao#chu 高出 高处 搞出 
gao#chui 告吹 
gao#ci 告辞 
gao#cuo 搞错 
gao#da 高达 高大 
gao#dan#bai 高蛋白 
gao#dang 高档 
gao#dang#ci 高档次 
gao#dao 搞到 
gao#deng 高等 
gao#di 高低 高地 
gao#di#gang 高低杠 
gao#dian 高点 糕点 
gao#du 高度 
gao#e 高额 
gao#er 高二 
gao#er#fu#qiu 高尔夫球 
gao#fa 高法 搞法 
gao#fei 高飞 稿费 
gao#fen 高分 
gao#fen#zi 高分子 
gao#feng 高峰 高风 
gao#feng#liang#jie 高风亮节 
gao#feng#qi 高峰期 
gao#fu 告负 
gao#gao 高高 
gao#gao#xing#xing 高高兴兴 
gao#gao#zai#shang 高高在上 
gao#ge 高歌 高个 
gao#gen#xie 高跟鞋 
gao#gong 高工 
gao#gu 高估 
gao#gua 高挂 
gao#guan 高官 
gao#gui 高贵 
gao#guo 高过 
gao#han 高寒 高喊 
gao#hao 搞好 
gao#hao#neng 高耗能 
gao#hu 高呼 
gao#huo 搞活 
gao#ji 高级 告急 
gao#ji#shu 高技术 
gao#jia 高价 
gao#jia#qiao 高架桥 
gao#jia#suo 高加索 
gao#jian 高见 稿件 
gao#jiao 高教 
gao#jie 高洁 告捷 告诫 
gao#jiu 高就 
gao#ju 高居 高举 
gao#jun 告竣 
gao#kang 高亢 
gao#kao 高考 
gao#ke#ji 高科技 
gao#kong 高空 
gao#kua 搞垮 
gao#li 高丽 
gao#li#dai 高利贷 
gao#liang 高粱 
gao#ling 高龄 
gao#lou 高楼 
gao#lou#da#sha 高楼大厦 
gao#lu 高炉 
gao#luan 搞乱 
gao#mian 高棉 
gao#ming 高明 
gao#nan#du 高难度 
gao#neng 高能 
gao#neng#wu#li 高能物理 
gao#nian#ji 高年级 
gao#pin 高频 
gao#pin#zhi 高品质 
gao#po 高坡 
gao#qi 搞起 
gao#qi#lai 搞起来 
gao#qiang 高墙 高强 
gao#qiang#du 高强度 
gao#qiao 高桥 
gao#qing 搞清 告罄 
gao#ren 高人 
gao#ren#yi#chou 高人一筹 
gao#san 高三 
gao#shan 高山 
gao#shan#yang#zhi 高山仰止 
gao#shan#zu 高山族 
gao#shang 高尚 
gao#shao 高烧 
gao#she#pao 高射炮 
gao#shen 高深 
gao#sheng 高声 高升 
gao#shi 告示 
gao#shou 高手 
gao#shui#ping 高水平 
gao#song 高耸 
gao#song#ru#yun 高耸入云 
gao#su 高速 告诉 
gao#su#du 高速度 
gao#su#gong#lu 高速公路 
gao#su#lu 高速路 
gao#tai 高台 
gao#tai#gui#shou 高抬贵手 
gao#wei 高位 告慰 
gao#wei#du 高纬度 
gao#wen 高温 
gao#wu#jian#ling 高屋建瓴 
gao#xi 高息 
gao#xia 高下 
gao#xiao 高小 高校 高效 
gao#xiao#fei 高消费 
gao#xiao#lv 高效率 
gao#xiao#neng 高效能 
gao#xin 高薪 
gao#xin#ji#shu 高新技术 
gao#xin#ke#ji 高新科技 
gao#xing 高兴 
gao#xing#neng 高性能 
gao#xiong 高雄 
gao#xuan 高悬 
gao#xue#ya 高血压 
gao#ya 高压 高雅 
gao#ya#xian 高压线 
gao#ya#yang 高压氧 
gao#yang 高扬 高阳 羔羊 
gao#yao 膏药 
gao#yi 高一 
gao#yi#duan#luo 告一段落 
gao#yin 高音 
gao#yu 高于 
gao#yuan 高原 高远 高院 
gao#zhan#yuan#zhu 高瞻远瞩 
gao#zhang 高涨 
gao#zhao 高招 高照 
gao#zhen#wu#you 高枕无忧 
gao#zhi 高质 稿纸 告知 
gao#zhi#liang 高质量 
gao#zhong 高中 告终 
gao#zhong#sheng 高中生 
gao#zhou 高州 
gao#zhuang 告状 
gao#zi 稿子 
gao#zou 高奏 
ge 盖 哥 歌 搁 戈 鸽 胳 疙 割 革 葛 格 蛤 阁 隔 铬 个 各 合 咯 屹 仡 圪 嗝 纥 搿 膈 硌 镉 颌 虼 舸 骼 
ge#ai 割爱 
ge#an 个案 
ge#ba 个把 
ge#bao 各报 
ge#ben#ha#gen 哥本哈根 
ge#bi 戈壁 隔壁 
ge#bi#tan 戈壁滩 
ge#bie 个别 
ge#bo 胳膊 
ge#bu 各部 
ge#chang 歌唱 
ge#chang#jia 歌唱家 
ge#chu 革除 各处 
ge#ci 歌词 
ge#cun 各村 
ge#da 疙瘩 
ge#dang 各党 
ge#de 歌德 
ge#de#qi#suo 各得其所 
ge#di 割地 各地 
ge#diao 格调 
ge#dou 格斗 
ge#duan 割断 
ge#dui 各队 
ge#er 个儿 
ge#er#ba#qiao#fu 戈尔巴乔夫 
ge#er#mu 格尔木 
ge#fang 各方 
ge#ge 哥哥 个个 各个 
ge#ge#bu#ru 格格不入 
ge#gu 个股 
ge#guo 各国 
ge#hang 各行 
ge#hang#ge#ye 各行各业 
ge#he 隔阂 
ge#hou 歌喉 
ge#hu 各户 
ge#ji 各级 
ge#jia 各家 
ge#jie 各界 
ge#jie#ren#shi 各界人士 
ge#jin#suo#neng 各尽所能 
ge#ju 歌剧 割据 格局 
ge#ju#yuan 歌剧院 
ge#jue 隔绝 
ge#kai 割开 隔开 
ge#ke 各科 
ge#la#si#ge 格拉斯哥 
ge#lei 各类 
ge#li 隔离 
ge#li#dai 隔离带 
ge#lia 哥俩 
ge#lie 割裂 
ge#lin 格林 
ge#lou 阁楼 
ge#lu 各路 
ge#lu#ji#ya 格鲁吉亚 
ge#lun#bi#ya 哥伦比亚 
ge#lun#bu 哥伦布 
ge#luo#zi#ni 格罗兹尼 
ge#lv 革履 
ge#men 各门 
ge#men#er 哥们儿 
ge#mi 歌迷 
ge#ming 革命 
ge#ming#dang 革命党 
ge#ming#hua 革命化 
ge#ming#jia 革命家 
ge#ming#jun 革命军 
ge#ming#shi 革命史 
ge#ming#xing 革命性 
ge#ming#zhe 革命者 
ge#mo 隔膜 
ge#pai 各派 
ge#qian 搁浅 
ge#qiang 隔墙 
ge#qu 歌曲 各区 
ge#qu#suo#xu 各取所需 
ge#rang 割让 
ge#re 隔热 
ge#ren 个人 各人 
ge#ren#dian#nao 个人电脑 
ge#ren#sai 个人赛 
ge#ren#zhu#yi 个人主义 
ge#san#cha#wu 隔三差五 
ge#se 各色 
ge#she 割舍 
ge#sheng 歌声 各省 
ge#shi 格式 各式 各市 
ge#shi#ge#yang 各式各样 
ge#shou 歌手 
ge#shu 个数 
ge#shu#ji#jian 各抒己见 
ge#si#da#li#jia 哥斯达黎加 
ge#si#qi#zhi 各司其职 
ge#song 歌颂 
ge#tan 歌坛 
ge#ti 个体 
ge#ti#hu 个体户 
ge#tiao 各条 
ge#ting 歌厅 
ge#tou 个头 
ge#wai 格外 
ge#wei 个位 各位 
ge#wu 歌舞 
ge#wu#ju 歌舞剧 
ge#wu#ting 歌舞厅 
ge#wu#tuan 歌舞团 
ge#xi 各系 
ge#xia 阁下 
ge#xian 各县 
ge#xian#shen#tong 各显神通 
ge#xiang 各项 
ge#xin 革新 
ge#xing 歌星 个性 
ge#xing#hua 个性化 
ge#xing#qi#shi 各行其是 
ge#yan 格言 
ge#yao 歌谣 
ge#ye 各业 
ge#yi 各异 
ge#yin 隔音 
ge#yong 歌咏 
ge#you 葛优 
ge#you#qian#qiu 各有千秋 
ge#you#suo#chang 各有所长 
ge#zai 搁在 
ge#zhan 各站 
ge#zhe 歌者 隔着 
ge#zhi 搁置 
ge#zhi#yi#ci 各执一词 
ge#zhong 个中 各种 
ge#zhong#ge#yang 各种各样 
ge#zhou 各州 
ge#zhou#ba 葛洲坝 
ge#zi 鸽子 格子 个子 各自 
ge#zi#wei#zheng 各自为政 
ge#zu 各族 各组 
gei 给 
gei#chu 给出 
gei#fu 给付 
gei#shui 给水 
gei#wo 给我 
gei#yi 给以 
gen 根 跟 亘 哏 艮 
gen#ban 跟班 
gen#ben 根本 
gen#ben#shang 根本上 
gen#ben#xing 根本性 
gen#bu 根部 
gen#bu#shang 跟不上 
gen#chu 根除 
gen#dao 跟到 
gen#di 根底 
gen#diao 根雕 
gen#gu 亘古 
gen#ji 根基 
gen#jin 跟进 
gen#ju 根据 
gen#ju#di 根据地 
gen#qian 跟前 
gen#shang 跟上 
gen#shen#di#gu 根深蒂固 
gen#shen#ye#mao 根深叶茂 
gen#sui 跟随 
gen#tou 跟头 
gen#xi 根系 
gen#xu 根须 
gen#yuan 根源 
gen#zhe 跟着 
gen#zhi 根植 根治 
gen#zi 根子 
gen#zong 跟踪 
geng 耕 更 庚 羹 埂 耿 梗 颈 哽 赓 绠 鲠 
geng#da 更大 
geng#di 耕地 
geng#die 更迭 
geng#duo 更多 
geng#gai 更改 
geng#gao 更高 
geng#geng#yu#huai 耿耿于怀 
geng#hao 更好 
geng#he#kuang 更何况 
geng#huan 更换 
geng#jia 更加 
geng#jin#yi#bu 更进一步 
geng#ming 更名 
geng#niu 耕牛 
geng#se 梗塞 
geng#shang#yi#ceng#lou 更上一层楼 
geng#shao 更少 
geng#shen 更深 更甚 
geng#sheng#yi#chou 更胜一筹 
geng#shi 更是 
geng#ti 更替 
geng#tian 耕田 
geng#wei 更为 
geng#xin 更新 
geng#xin#huan#dai 更新换代 
geng#ye 哽咽 
geng#yi 更易 
geng#yun 耕耘 
geng#zheng 更正 
geng#zhong 耕种 
geng#zu 梗阻 
geng#zuo 耕作 
gong 工 攻 功 恭 龚 供 躬 公 宫 弓 巩 汞 拱 贡 共 红 珙 肱 蚣 觥 
gong#an 公安 
gong#an#bu 公安部 
gong#an#bu#zhang 公安部长 
gong#an#ju 公安局 
gong#an#ting 公安厅 
gong#an#xian 公安县 
gong#ban 公办 
gong#bao 公报 
gong#ben#fei 工本费 
gong#bi 工笔 
gong#bing 工兵 
gong#bu 工部 公布 
gong#bu#ke#mo 功不可没 
gong#bu#ying#qiu 供不应求 
gong#ce 公厕 
gong#chai 公差 
gong#chan#dang 共产党 
gong#chan#dang#ren 共产党人 
gong#chan#dang#yuan 共产党员 
gong#chan#guo#ji 共产国际 
gong#chan#zhu#yi 共产主义 
gong#chan#zhu#yi#zhe 共产主义者 
gong#chang 工厂 
gong#chang#hua 工厂化 
gong#che 公车 
gong#chen 功臣 
gong#cheng 工程 攻城 恭城 宫城 
gong#cheng#bing 工程兵 
gong#cheng#dui 工程队 
gong#cheng#ming#jiu 功成名就 
gong#cheng#shi 工程师 
gong#cheng#xue 工程学 
gong#chu 共处 
gong#chuang 共创 
gong#cun 共存 
gong#da 攻打 
gong#da#yu#qiu 供大于求 
gong#dan 共担 
gong#dang 工党 
gong#dao 公道 
gong#de 功德 公德 
gong#di 工地 功底 
gong#dian 供电 宫殿 
gong#du 攻读 共度 共渡 
gong#er#wang#si 公而忘私 
gong#fang 攻防 公房 
gong#fei 公费 
gong#fen 共分 
gong#feng 供奉 
gong#fu 工夫 功夫 
gong#fu#bu#fu#you#xin#ren 功夫不负有心人 
gong#ga 贡嘎 
gong#gao 供稿 公告 
gong#gei 供给 
gong#gong 公公 公共 
gong#gong#ce#suo 公共厕所 
gong#gong#jing#jing 恭恭敬敬 
gong#gong#qi#che 公共汽车 
gong#gong#shi#ye 公共事业 
gong#gu 巩固 
gong#guan 攻关 公关 共管 
gong#guo 功过 
gong#guo#yu#qiu 供过于求 
gong#hai 公海 公害 
gong#hang 工行 
gong#he 共和 
gong#he#dang 共和党 
gong#he#guo 共和国 
gong#he#jun 共和军 
gong#hou 恭候 
gong#hua 共话 
gong#hui 工会 
gong#huo 供货 
gong#ji 攻击 功绩 供给 公鸡 公祭 共计 
gong#ji#jin 公积金 
gong#ji#xing 攻击性 
gong#jia 公家 
gong#jian 攻坚 弓箭 共建 
gong#jian#fa 公检法 
gong#jian#zhan 攻坚战 
gong#jiang 工匠 
gong#jiao 工交 公交 
gong#jin 攻进 公斤 共进 
gong#ju 工具 共聚 
gong#ju#shu 工具书 
gong#jue 公决 
gong#kai 公开 
gong#kai#hua 公开化 
gong#kai#sai 公开赛 
gong#kai#xin 公开信 
gong#kai#xing 公开性 
gong#ke 工科 攻克 功课 
gong#kuan 公款 
gong#kuang 工矿 
gong#kui#yi#kui 功亏一篑 
gong#lao 功劳 
gong#li 功利 功力 公理 公里 公历 公立 巩俐 
gong#li#xue#xiao 公立学校 
gong#lian 工联 
gong#liang 公粮 
gong#ling 工龄 
gong#lu 公路 
gong#lu#ju 公路局 
gong#lu#wang 公路网 
gong#lun 公论 
gong#lv 功率 
gong#mao 工贸 
gong#men 攻门 
gong#mian 共勉 
gong#min 公民 
gong#min#quan 公民权 
gong#ming 功名 共鸣 
gong#mou 共谋 
gong#mu 公墓 
gong#nei 宫内 
gong#neng 功能 
gong#neng#xing 功能性 
gong#nong 工农 
gong#nong#bing 工农兵 
gong#nong#hong#jun 工农红军 
gong#nong#ye 工农业 
gong#nuan 供暖 
gong#peng 工棚 拱棚 
gong#pin 贡品 
gong#ping 公平 
gong#ping#xing 公平性 
gong#po 攻破 公婆 
gong#pu 公仆 
gong#qi 工期 供气 公汽 
gong#qian 工钱 
gong#qiao 拱桥 
gong#qing 公顷 
gong#qing#tuan 共青团 
gong#qiu 供求 
gong#qu 工区 
gong#ran 公然 
gong#re 供热 
gong#ren 工人 供认 公认 
gong#ren#jie#ji 工人阶级 
gong#ren#ti#yu#chang 工人体育场 
gong#ren#yun#dong 工人运动 
gong#rong 共荣 
gong#ru 攻入 
gong#shang 工伤 工商 
gong#shang#hang 工商行 
gong#shang#hu 工商户 
gong#shang#jie 工商界 
gong#shang#ju 工商局 
gong#shang#lian 工商联 
gong#shang#ye 工商业 
gong#she 公社 
gong#shen 躬身 
gong#sheng 共生 
gong#shi 工时 工事 攻势 公使 公式 公事 共识 共事 
gong#shou 攻守 拱手 
gong#shu 公署 
gong#shui 供水 
gong#si 公私 公司 
gong#si#fa 公司法 
gong#su 公诉 
gong#su#ren 公诉人 
gong#ti 工体 
gong#ting 宫廷 
gong#tong 共通 共同 
gong#tong#dian 共同点 
gong#tong#she 共同社 
gong#tong#shi#chang 共同市场 
gong#tong#ti 共同体 
gong#tong#xing 共同性 
gong#tou 工头 
gong#wei 工委 恭维 
gong#wen 公文 
gong#wen#bao 公文包 
gong#wu 公物 公务 共舞 
gong#wu#yuan 公务员 
gong#xia 攻下 
gong#xian 攻陷 贡献 
gong#xiang 共享 
gong#xiao 工效 功效 供销 
gong#xin 工薪 
gong#xin#jie#ceng 工薪阶层 
gong#xin#zu 工薪族 
gong#xing 拱形 共性 
gong#xiu 公休 
gong#xu 工序 供需 
gong#xue#yuan 工学院 
gong#xun 功勋 
gong#yan 公演 
gong#yang 供养 
gong#ye 工业 功业 
gong#ye#bu 工业部 
gong#ye#da#xue 工业大学 
gong#ye#ge#ming 工业革命 
gong#ye#guo 工业国 
gong#ye#hua 工业化 
gong#ye#jie 工业界 
gong#ye#pin 工业品 
gong#ye#qu 工业区 
gong#yi 工艺 公益 
gong#yi#jin 公益金 
gong#yi#liu#cheng 工艺流程 
gong#yi#mei#shu 工艺美术 
gong#yi#mei#shu#pin 工艺美术品 
gong#yi#pin 工艺品 
gong#yi#xing 公益性 
gong#ying 供应 公映 
gong#yong 功用 公用 共用 
gong#yong#shi#ye 公用事业 
gong#you 工友 供油 公有 共有 
gong#you#zhi 公有制 
gong#yu 工余 公寓 
gong#yuan 公元 公园 
gong#yue 公约 
gong#yun 工运 公允 
gong#zhan 攻占 
gong#zhang 工长 公章 
gong#zhen 共振 
gong#zheng 工整 公正 公证 
gong#zheng#shu 公证书 
gong#zheng#xing 公正性 
gong#zhi 供职 公职 
gong#zhong 工种 公众 宫中 
gong#zhu 公诸 公主 
gong#zhuang 工装 
gong#zi 工资 公子 
