a1 啊 阿 腌 锕 
a1#ba4 阿爸 
gu4#lv4 顾虑 
gu4#ming2#si1#yi4 顾名思义 
gu4#qing3 雇请 
gu4#qu4 故去 
gu4#quan2 顾全 
gu4#quan2#da4#ju2 顾全大局 
gu4#ran2 固然 
gu4#ren2 故人 雇人 
gu4#shi4#pian1 故事片 
gu4#shi5 故事 
gu4#shou3 固守 
gu4#tai4 固态 
gu4#ti3 固体 
gu4#tu3 故土 
gu4#wen4 顾问 
gu4#xiang1 故乡 
gu4#yi4 故意 
gu4#yong1 雇佣 
gu4#yong4 雇佣 雇用 
gu4#you3 固有 
gu4#yuan2 故园 雇员 
gu4#zhang4 故障 
gu4#zhi2 固执 
gu4#zhu3 雇主 
gu5 菇 咕 估 孤 姑 鼓 骨 谷 股 故 顾 
gua1 刮 瓜 括 呱 胍 鸹 
gua1#dao4 刮到 
gua1#fen1 瓜分 
gua1#feng1 刮风 
gua1#gua1#zhui4#di4 呱呱坠地 
gua1#guo3 瓜果 
gua1#mu4#xiang1#kan4 刮目相看 
gua1#qi3 刮起 
gua1#zi3 瓜子 
gua3 剐 寡 呱 
gua3#fu5 寡妇 
gua4 挂 褂 卦 诖 
gua4#cai3 挂彩 
gua4#chu1 挂出 
gua4#gou1 挂钩 
gua4#guo3 挂果 
gua4#hao4 挂号 
gua4#kao4 挂靠 
gua4#li4 挂历 
gua4#man3 挂满 
gua4#mian4 挂面 
gua4#nian4 挂念 
gua4#pai2 挂牌 
gua4#qi3 挂起 
gua4#shang4 挂上 
gua4#shi1 挂失 
gua4#shuai4 挂帅 
gua4#tan3 挂毯 
gua4#tu2 挂图 
gua4#you3 挂有 
gua4#zhi2 挂职 
gua5 刮 瓜 挂 鸹 
guai1 乖 掴 
guai1#guai1 乖乖 
guai3 拐 
guai3#gun4 拐棍 
guai3#mai4 拐卖 
guai3#wan1 拐弯 
guai3#zhang4 拐杖 
guai4 怪 
guai4#bu5#de2 怪不得 
guai4#quan1 怪圈 
guai4#shi2 怪石 
guai4#shi4 怪事 
guai4#wei4 怪味 
guai4#wu4 怪物 
guai4#yi4 怪异 
guan1 棺 关 官 冠 观 纶 倌 莞 矜 鳏 
guan1#bi4 关闭 
guan1#bing1 官兵 
guan1#cai5 棺材 
guan1#ce4 观测 
guan1#ce4#zhan4 观测站 
guan1#cha2 观察 
guan1#cha2#jia1 观察家 
guan1#cha2#tuan2 观察团 
guan1#cha2#yuan2 观察员 
guan1#chang3 官场 
guan1#dao3 关岛 
guan1#di3 官邸 
guan1#dian3 观点 
guan1#diao4 关掉 
guan1#dong1 关东 
guan1#fang1 官方 
guan1#fang2#zhang3#guan1 官房长官 
guan1#gan3 观感 
guan1#guang1 观光 
guan1#guang1#ke4 观光客 
guan1#hu1 关乎 
guan1#huai2 关怀 
guan1#huai2#bei4#zhi4 关怀备至 
guan1#ji1 关机 
guan1#jian4 关键 
guan1#jian4#xing4 关键性 
guan1#jie2 关节 
guan1#jie2#yan2 关节炎 
guan1#jin3 关紧 
guan1#jin4 关进 
guan1#jing3 观景 
guan1#kan4 观看 
guan1#kou3 关口 
guan1#li3 观礼 
guan1#li3#tai2 观礼台 
guan1#li4 官吏 
guan1#lian2 关联 关连 
guan1#liao2 官僚 
guan1#liao2#zhu3#yi4 官僚主义 
guan1#men2 关门 
guan1#mian3#tang2#huang2 冠冕堂皇 
guan1#mo2 观摩 
guan1#mu4 棺木 
guan1#nian4 观念 
guan1#qi3 关起 
guan1#qia3 关卡 
guan1#qie4 关切 
guan1#qu1 关区 
guan1#sai4 观赛 
guan1#shan1 关山 
guan1#shang1 官商 
guan1#shang3 观赏 
guan1#shang3#xing4 观赏性 
guan1#shang4 关上 
guan1#shui4 关税 
guan1#shui4#bi4#lei3 关税壁垒 
guan1#si5 官司 
guan1#ting1 官厅 
guan1#tou2 关头 
guan1#wai4 关外 
guan1#wang4 观望 
guan1#wei4 官位 
guan1#xi1 关西 
guan1#xi4 关系 
guan1#xi4#dao4 关系到 
guan1#xi4#hu4 关系户 
guan1#xi4#shi3 关系史 
guan1#xi4#wang3 关系网 
guan1#xian4 冠县 
guan1#xin1 关心 
guan1#xin1#bing4 冠心病 
guan1#ya1 关押 
guan1#yi3 冠以 
guan1#yin1 观音 
guan1#yu2 关于 
guan1#yu3 关羽 
guan1#yuan2 关员 官员 
guan1#zhan4 观战 
guan1#zhang3 关长 
guan1#zhao4 关照 
guan1#zhe3 观者 
guan1#zhi2 官职 
guan1#zhong1 关中 
guan1#zhong4 观众 
guan1#zhong4#xi2 观众席 
guan1#zhu4 关注 
guan1#zi5 官子 
guan3 管 馆 莞 
guan3#bu4#liao3 管不了 
guan3#cai2 管材 
guan3#cang2 馆藏 
guan3#dao4 管道 
guan3#guan3 管管 
guan3#guan5 管管 
guan3#hao3 管好 
guan3#jia1 管家 
guan3#jiao4 管教 
guan3#li3 管理 馆里 
guan3#li3#ceng2 管理层 
guan3#li3#chu4 管理处 
guan3#li3#fa3 管理法 
guan3#li3#fei4 管理费 
guan3#li3#ju2 管理局 
guan3#li3#quan2 管理权 
guan3#li3#suo3 管理所 
guan3#li3#xi4 管理系 
guan3#li3#xue2 管理学 
guan3#li3#yuan2 管理员 
guan3#li3#zhan4 管理站 
guan3#li3#zhe3 管理者 
guan3#li3#zhi4 管理制 
guan3#lu4 管路 
guan3#nei4 馆内 
guan3#qi3#lai2 管起来 
guan3#qu1 管区 
guan3#shi4 管事 
guan3#ta1 管他 管它 
guan3#wang3 管网 
guan3#wei3#hui4 管委会 
guan3#xia2 管辖 
guan3#xian2 管弦 
guan3#xian4 管线 
guan3#yong4 管用 
guan3#yuan2 馆员 
guan3#zhang3 馆长 
guan3#zhi4 管制 管治 
guan3#zhu4 管住 
guan3#zi3 管子 
guan3#zi5 馆子 
guan4 冠 观 罐 惯 灌 贯 掼 盥 鹳 
guan4#chang2 惯常 
guan4#che4 贯彻 
guan4#chuan1 贯穿 
guan4#chuan4 贯串 
guan4#gai4 灌溉 
guan4#jiang1 灌浆 
guan4#jun1 冠军 
guan4#jun1#sai4 冠军赛 
guan4#li4 惯例 
guan4#man3 灌满 
guan4#ming2 冠名 
guan4#mu4 灌木 
guan4#qu1 灌区 
guan4#qu2 灌渠 
guan4#shu1 灌输 
guan4#shui3 灌水 
guan4#tong1 贯通 
guan4#tou2#chang3 罐头厂 
guan4#tou5 罐头 
guan4#xian4 冠县 
guan4#xing4 惯性 
guan4#ya4#jun1 冠亚军 
guan4#yong4 惯用 
guan4#yu2 惯于 
guan4#zhu4 灌注 贯注 
guan4#zhuang1 罐装 灌装 
guan4#zhuang4#dong4#mai4 冠状动脉 
guan4#zi5 罐子 
guan5 关 灌 棍 
guang1 光 咣 桄 胱 
guang1#cai3 光彩 
guang1#cai3#duo2#mu4 光彩夺目 
guang1#cai3#zhao4#ren2 光彩照人 
guang1#da4 光大 
guang1#dian4 光电 
guang1#dian4#zi3 光电子 
guang1#fu4 光复 
guang1#gu4 光顾 
guang1#guai4#lu4#li2 光怪陆离 
guang1#gun4 光棍 
guang1#he2#zuo4#yong4 光合作用 
guang1#hua2 光华 光滑 
guang1#huan2 光环 
guang1#hui1 光辉 
guang1#hui1#can4#lan4 光辉灿烂 
guang1#jiao3 光脚 
guang1#jie2 光洁 
guang1#jie2#du4 光洁度 
guang1#jing3 光景 
guang1#lan3 光缆 
guang1#liang4 光亮 
guang1#lin2 光临 
guang1#mang2 光芒 
guang1#ming2 光明 
guang1#ming2#lei3#luo4 光明磊落 
guang1#ming2#ri4#bao4 光明日报 
guang1#ming2#zheng4#da4 光明正大 
guang1#nian2 光年 
guang1#pan2 光盘 
guang1#pu3 光谱 
guang1#rong2 光荣 
guang1#rong2#bang3 光荣榜 
guang1#shan1 光山 
guang1#tian1#hua4#ri4 光天化日 
guang1#tong1#xin4 光通信 
guang1#tou2 光头 
guang1#tu1#tu1 光秃秃 
guang1#xian1 光纤 
guang1#xian4 光线 
guang1#xu4 光绪 
guang1#xue2 光学 
guang1#yao4 光耀 
guang1#yin1 光阴 
guang1#yuan2 光源 
guang1#ze2 光泽 
guang1#zhao4 光照 
guang3 广 犷 
guang3#an1 广安 
guang3#an1#men2 广安门 
guang3#bo1 广播 
guang3#bo1#dian4#tai2 广播电台 
guang3#bo2 广博 
guang3#chang3 广场 
guang3#da4 广大 
guang3#dao3 广岛 
guang3#dian4 广电 
guang3#dian4#bu4 广电部 
guang3#dong1 广东 
guang3#du4 广度 
guang3#fan4 广泛 
guang3#feng1 广丰 
guang3#gao4 广告 
guang3#gao4#ci2 广告词 
guang3#gao4#fei4 广告费 
guang3#gao4#pai2 广告牌 
guang3#gao4#ye4 广告业 
guang3#gao4#zhu3 广告主 
guang3#jiao1 广交 
guang3#jiao1#hui4 广交会 
guang3#kai1 广开 
guang3#kuo4 广阔 
guang3#mao4 广袤 
guang3#na4 广纳 
guang3#sha4 广厦 
guang3#wei2 广为 
guang3#xi1 广西 
guang3#yi4 广义 
guang3#yuan2 广元 
guang3#yuan3 广远 
guang3#zhou1 广州 
guang3#zhou1#qi3#yi4 广州起义 
guang4 逛 桄 
guang4#guang4 逛逛 
guang4#jie1 逛街 
guang5 逛 
gui1 瑰 规 圭 硅 归 龟 闺 傀 妫 皈 鲑 
gui1#an4 归案 
gui1#bao3 瑰宝 
gui1#bi4 规避 
gui1#bing4 归并 
gui1#cheng2 规程 归程 
gui1#dang4 归档 
gui1#ding4 规定 
gui1#ding4#xing4 规定性 
gui1#dui4 归队 
gui1#fan4 规范 
gui1#fan4#hua4 规范化 
gui1#fan4#xing4 规范性 
gui1#ge2 规格 
gui1#gen1#dao4#di3 归根到底 
gui1#gen1#jie1#di3 归根结底 
gui1#gong1 归功 
gui1#gu3 硅谷 
gui1#gui1#ju3#ju3 规规矩矩 
gui1#guo2 归国 
gui1#hua4 规划 
gui1#huan2 归还 
gui1#ji2 归集 
gui1#jie2 归结 
gui1#ju3 规矩 
gui1#ju5 规矩 
gui1#kou3 归口 
gui1#lai2 归来 
gui1#lei4 归类 
gui1#li4 瑰丽 
gui1#lv4 规律 
gui1#lv4#xing4 规律性 
gui1#mo2 规模 
gui1#mo2#hua4 规模化 
gui1#na4 归纳 
gui1#nv5 闺女 
gui1#qiao2 归侨 
gui1#qu4 归去 
gui1#quan4 规劝 
gui1#ru4 归入 
gui1#shan1 龟山 
gui1#shu3 归属 
gui1#su4 归宿 
gui1#tu2 归途 
gui1#wei4 归位 
gui1#ya4#na4 圭亚那 
gui1#yu2 归于 
gui1#ze2 规则 
gui1#zhang1 规章 
gui3 轨 鬼 诡 癸 匦 庋 宄 晷 簋 
gui3#dao4 轨道 
gui3#fu3#shen2#gong1 鬼斧神工 
gui3#ji1 轨迹 
gui3#men2#guan1 鬼门关 
gui3#mi4 诡秘 
gui3#shen2 鬼神 
gui3#zi5 鬼子 
gui4 桂 柜 跪 贵 刽 炔 刿 桧 炅 鳜 
gui4#bao4 贵报 
gui4#bin1 贵宾 
gui4#gang3 贵港 
gui4#gong1#si1 贵公司 
gui4#guan1 桂冠 
gui4#guo2 贵国 
gui4#hua1 桂花 
gui4#jian4 贵贱 
gui4#jin1#shu3 贵金属 
gui4#ke4 贵客 
gui4#lin2 桂林 
gui4#tai2 柜台 
gui4#xia4 跪下 
gui4#yang2 贵阳 
gui4#zhong4 贵重 
gui4#zhou1 贵州 
gui4#zi5 柜子 
gui4#zu2 贵族 
gui5 瑰 规 归 鬼 贵 
gun3 辊 滚 衮 磙 鲧 
gun3#dong4 滚动 
gun3#gun3 滚滚 
gun3#luo4 滚落 
gun3#tang4 滚烫 
gun3#tong3 滚筒 
gun3#xue3#qiu2 滚雪球 
gun4 棍 
gun4#bang4 棍棒 
gun4#zi5 棍子 
gun7 掴 
guo1 锅 郭 过 涡 埚 呙 崞 聒 蝈 
guo1#du4#qi1 过渡期 
guo1#du4#xing4 过渡性 
guo1#guo1 过过 
guo1#lu2 锅炉 
guo1#mo4#ruo4 郭沫若 
guo1#shi4 过世 
guo1#tai2 锅台 
guo2 国 掴 帼 虢 
guo2#an1 国安 
guo2#bao3 国宝 
guo2#ben3 国本 
guo2#biao1 国标 
guo2#bie2 国别 
guo2#bin1 国宾 
guo2#bin1#guan3 国宾馆 
guo2#ce4 国策 
guo2#chan3 国产 
guo2#chan3#hua4 国产化 
guo2#chan3#huo4 国产货 
guo2#chan3#pin3 国产品 
guo2#chi3 国耻 
guo2#da4 国大 
guo2#dao4 国道 
guo2#du1 国都 
guo2#du4 国度 
guo2#fa3 国法 
guo2#fang2 国防 
guo2#fang2#bu4 国防部 
guo2#fang2#bu4#zhang3 国防部长 
guo2#fang2#jun1 国防军 
guo2#feng1 国风 
guo2#fu4 国富 
guo2#ge1 国歌 
guo2#ge1#sheng1 国歌声 
guo2#ge2 国格 
guo2#gong4 国共 
guo2#guang1 国光 
guo2#hang2 国航 
guo2#hua4 国画 
guo2#hui1 国徽 
guo2#hui4 国会 
guo2#hun2 国魂 
guo2#huo4 国货 
guo2#ji2 国籍 
guo2#ji2#fa3 国籍法 
guo2#ji4 国计 国际 
guo2#ji4#fa3 国际法 
guo2#ji4#ge1 国际歌 
guo2#ji4#hua4 国际化 
guo2#ji4#ji2 国际级 
guo2#ji4#jiang3 国际奖 
guo2#ji4#min2#sheng1 国计民生 
guo2#ji4#xiang4#qi2 国际象棋 
guo2#ji4#xing4 国际性 
guo2#jia1 国家 
guo2#jia1#dui4 国家队 
guo2#jia1#ji2 国家级 
guo2#jia1#yin2#hang2 国家银行 
guo2#jiao4 国教 
guo2#jie4 国界 
guo2#jing4 国境 
guo2#jing4#xian4 国境线 
guo2#jun1 国军 
guo2#ku4 国库 
guo2#ku4#quan4 国库券 
guo2#li4 国历 国立 国力 
guo2#lian2 国联 
guo2#lv3 国旅 
guo2#mao4 国贸 
guo2#men2 国门 
guo2#min2 国民 
guo2#min2#dang3 国民党 
guo2#min2#jiao4#yu4 国民教育 
guo2#min2#jing1#ji4 国民经济 
guo2#min2#jun1 国民军 
guo2#ming2 国名 
guo2#nan4 国难 
guo2#nei4 国内 
guo2#nei4#wai4 国内外 
guo2#qi2 国旗 
guo2#qi3 国企 
guo2#qing2 国情 
guo2#qing4 国庆 
guo2#qing4#jie2 国庆节 
guo2#qing4#ri4 国庆日 
guo2#qiu2 国球 
guo2#ren2 国人 
guo2#shi3 国史 
guo2#shi4 国事 国势 国是 
guo2#shou3 国手 
guo2#shu1 国书 
guo2#shui4 国税 
guo2#shui4#ju2 国税局 
guo2#tai4#min2#an1 国泰民安 
guo2#ti3 国体 
guo2#tong3#qu1 国统区 
guo2#tu3 国土 
guo2#wai4 国外 
guo2#wang2 国王 
guo2#wei1 国威 
guo2#wen2 国文 
guo2#wu4 国务 
guo2#wu4#bu4#zhang3 国务部长 
guo2#wu4#qing1 国务卿 
guo2#wu4#wei3#yuan2 国务委员 
guo2#wu4#yuan4 国务院 
guo2#xue2 国学 
guo2#ying2 国营 
guo2#you3 国有 
guo2#you3#hua4 国有化 
guo2#yu3 国语 
guo2#yun4 国运 
guo2#zang4 国葬 
guo2#zhai4 国债 
guo2#zheng4 国政 
guo3 果 裹 猓 椁 蜾 
guo3#bu4#qi2#ran2 果不其然 
guo3#duan4 果断 
guo3#gan3 果敢 
guo3#jiang4 果酱 
guo3#lin2 果林 
guo3#luo4 果洛 
guo3#miao2 果苗 
guo3#mu4 果木 
guo3#nong2 果农 
guo3#pi2 果皮 
guo3#pin3 果品 
guo3#pu3 果脯 
guo3#ran2 果然 
guo3#rou4 果肉 
guo3#shi2 果实 
guo3#shu4 果树 
guo3#xiang1 果香 
guo3#ye4 果业 
guo3#yuan2 果园 
guo3#zhen1 果真 
guo3#zhi1 果汁 
guo3#zi5 果子 
guo3#zu2#bu4#qian2 裹足不前 
guo4 过 
guo4#ban4 过半 
guo4#ban4#shu4 过半数 
guo4#bang4 过磅 
guo4#bu2#qu4 过不去 
guo4#cheng2 过程 
guo4#cuo4 过错 
guo4#da4 过大 
guo4#dang4 过当 
guo4#dao4 过道 
guo4#de5#ying4 过得硬 
guo4#dong1 过冬 
guo4#du4 过度 过渡 
guo4#duo1 过多 
guo4#fen4 过分 
guo4#gao1 过高 
guo4#guan1 过关 
guo4#guan1#zhan3#jiang4 过关斩将 
guo4#hai3 过海 
guo4#hou4 过后 
guo4#hu4 过户 
guo4#huo3 过火 
guo4#ji1 过激 
guo4#jie1 过街 
guo4#jie2 过节 
guo4#jing4 过境 
guo4#ke4 过客 
guo4#lai2 过来 
guo4#lai2#ren2 过来人 
guo4#liang4 过量 
guo4#lu4 过路 
guo4#lv4 过滤 
guo4#lv4#qi4 过滤器 
guo4#men2 过门 
guo4#min3 过敏 
guo4#min3#xing4 过敏性 
guo4#mu4 过目 
guo4#nian2 过年 
guo4#qi1 过期 
guo4#qiao2 过桥 
guo4#qu4 过去 
guo4#re4 过热 
guo4#ren2 过人 
guo4#ri4#zi5 过日子 
guo4#shang4 过上 
guo4#shao3 过少 
guo4#sheng1#ri4 过生日 
guo4#sheng4 过剩 
guo4#shi1 过失 
guo4#shi2 过时 
guo4#tou2 过头 
guo4#wan2 过完 
guo4#wang3 过往 
guo4#wen4 过问 
guo4#xi4 过细 
guo4#ye4 过夜 
guo4#yi4#bu2#qu4 过意不去 
guo4#yin3 过瘾 
guo4#ying4 过硬 
guo4#yu2 过于 
guo4#zao3 过早 
guo4#zhong4 过重 
guo5 锅 裹 过 
ha1 哈 铪 
ha1#er3#bin1 哈尔滨 
ha1#fo2 哈佛 
ha1#fo2#da4#xue2 哈佛大学 
ha1#ha1 哈哈 
ha1#ha1#da4#xiao4 哈哈大笑 
ha1#ma3#si1 哈马斯 
ha1#mi4 哈密 
ha1#mi4#gua1 哈密瓜 
ha1#ni2 哈尼 
ha1#ni2#zu2 哈尼族 
ha1#sa4#ke4 哈萨克 
ha1#sa4#ke4#si1#tan3 哈萨克斯坦 
ha1#sa4#ke4#zu2 哈萨克族 
ha1#wa3#na4 哈瓦那 
ha2 蛤 虾 
ha3 哈 
ha3#da2 哈达 
ha4 哈 
ha5 哈 
hai1 咳 嗨 
hai2 骸 孩 还 
hai2#hao3 还好 
hai2#shi4 还是 
hai2#ti2 孩提 
hai2#tong2 孩童 
hai2#xing2 还行 
hai2#yao4 还要 
hai2#you3 还有 
hai2#zai4 还在 
hai2#zi5 孩子 
hai3 海 
hai3#an4 海岸 
hai3#an4#xian4 海岸线 
hai3#ba2 海拔 
hai3#bao4 海报 海豹 
hai3#bian1 海边 
hai3#bin1 海滨 
hai3#bo1 海波 
hai3#chan3 海产 
hai3#chao2 海潮 
hai3#cheng2 海城 
hai3#dai4 海带 
hai3#dao3 海岛 
hai3#dao4 海盗 
hai3#di1 海堤 
hai3#di3 海底 
hai3#di4 海地 
hai3#dian4 海淀 
hai3#dian4#qu1 海淀区 
hai3#dong1 海东 
hai3#er3 海尔 
hai3#fang2 海防 
hai3#feng1 海风 
hai3#gang3 海港 
hai3#geng3 海埂 
hai3#guan1 海关 
hai3#gui1 海龟 
hai3#he2 海河 
hai3#ji1#hui4 海基会 
hai3#jiang1 海疆 
hai3#jun1 海军 
hai3#kou3 海口 
hai3#kuo4#tian1#kong1 海阔天空 
hai3#la1#er3 海拉尔 
hai3#lang4 海浪 
hai3#li3 海里 
hai3#lu4 海路 海陆 
hai3#lu4#kong1 海陆空 
hai3#lun2 海轮 海伦 
hai3#luo2 海螺 
hai3#luo4#yin1 海洛因 
hai3#men2 海门 
hai3#mian2 海绵 
hai3#mian4 海面 
hai3#nan2 海南 
hai3#nan2#dao3 海南岛 
hai3#nan4 海难 
hai3#nei4 海内 
hai3#nei4#wai4 海内外 
hai3#niao3 海鸟 
hai3#ning2 海宁 
hai3#niu2 海牛 
hai3#ou1 海鸥 
hai3#ping2#mian4 海平面 
hai3#qu1 海区 
hai3#shang4 海上 
hai3#shen1 海参 
hai3#shen1#wei1 海参崴 
hai3#shi1 海狮 
hai3#shi4 海事 
hai3#shi4#shen4#lou2 海市蜃楼 
hai3#shui3 海水 
hai3#tan1 海滩 
hai3#tang2 海棠 
hai3#tao1 海涛 
hai3#tian1 海天 
hai3#tun2 海豚 
hai3#wai4 海外 
hai3#wai4#ban3 海外版 
hai3#wan1 海湾 
hai3#xia2 海峡 
hai3#xian1 海鲜 
hai3#xiao4 海啸 
hai3#xie2#hui4 海协会 
hai3#xing1 海星 
hai3#ya2 海牙 
hai3#yan4 海燕 
hai3#yang2 海洋 
hai3#yang2#fa3 海洋法 
hai3#yang2#xue2 海洋学 
hai3#yu4 海域 
hai3#yuan2 海员 
hai3#yun4 海运 
hai3#zao3 海藻 
hai3#zhan4 海战 
hai3#zhe2 海蜇 
hai3#zi3 海子 
hai4 氦 亥 害 骇 
hai4#chong2 害虫 
hai4#chu4 害处 
hai4#ji3 害己 
hai4#pa4 害怕 
hai4#qun2#zhi1#ma3 害群之马 
hai4#ren2 害人 
hai5 害 
han1 酣 憨 顸 蚶 鼾 
han1#chang4 酣畅 
han1#hou4 憨厚 
han1#shui4 酣睡 
han2 邯 韩 含 涵 寒 函 汗 邗 晗 焓 
han2#chao2 寒潮 
han2#cun1#he2 韩村河 
han2#dan1 邯郸 
han2#dian4 函电 
han2#dong1 寒冬 
han2#dong4 涵洞 
han2#feng1 寒风 
han2#gai4 涵盖 
han2#gang1 邯钢 
han2#guo2 韩国 
han2#hu5 含糊 
han2#jia4 寒假 
han2#jian4 函件 
han2#jin1#liang4 含金量 
han2#lei4 含泪 
han2#leng3 寒冷 
han2#liang4 含量 
han2#liu2 寒流 
han2#qi4 寒气 
han2#shan1#si4 寒山寺 
han2#shou4 函授 
han2#shu3 寒暑 
han2#shu3#jia4 寒暑假 
han2#shu4 函数 
han2#shui3#liang4 含水量 
han2#suan1 寒酸 
han2#xiao4 含笑 
han2#xin1#ru2#ku3 含辛茹苦 
han2#xu4 含蓄 
han2#xuan1 寒暄 
han2#yang3 涵养 
han2#yi4 含义 涵义 寒意 
han2#you2 含油 
han2#you3 含有 
han2#yu4 韩愈 
han2#yuan2 韩元 
han2#zhu4#bin1 韩杼滨 
han3 喊 罕 
han3#chu1 喊出 
han3#hua4 喊话 
han3#jian4 罕见 
han3#jiao4 喊叫 
han3#sheng1 喊声 
han4 翰 撼 捍 旱 憾 悍 焊 汗 汉 菡 瀚 颔 
han4#bai2#yu4 汉白玉 
han4#bao3 汉堡 
han4#bao3#bao1 汉堡包 
han4#chao2 汉朝 
han4#cheng2 汉城 
han4#dai4 汉代 
han4#di4 旱地 
han4#dong4 撼动 
han4#gong1 焊工 
han4#hai3 瀚海 
han4#hua4 汉化 
han4#ji4 旱季 
han4#jian1 汉奸 
han4#jiang1 汉江 
han4#jie1 焊接 
han4#kou3 汉口 
han4#lao4 旱涝 
han4#lao4#bao3#shou1 旱涝保收 
han4#liu2#jia1#bei4 汗流浃背 
han4#ma3#gong1#lao2 汗马功劳 
han4#mo2 旱魔 
han4#nuo4#wei1 汉诺威 
han4#qing2 旱情 
han4#qu1 旱区 
han4#ran2 悍然 
han4#ren2 汉人 
han4#shan1 汗衫 
han4#shi4 憾事 
han4#shui3 汗水 汉水 
han4#tang2 汉唐 
han4#tian2 旱田 
han4#wang2 汉王 
han4#wei4 捍卫 
han4#wen2 汉文 
han4#wu3#di4 汉武帝 
han4#xue2 汉学 
han4#xue2#jia1 汉学家 
han4#yan2 汗颜 
han4#yang2 汉阳 
han4#yi4 汉译 
han4#yu3 汉语 
han4#yu3#pin1#yin1 汉语拼音 
han4#zai1 旱灾 
han4#zhong1 汉中 
han4#zhu1 汗珠 
han4#zi4 汉字 
han4#zi5 汉子 
han4#zu2 汉族 
han5 含 涵 寒 喊 罕 顸 
hang1 夯 
hang1#shi2 夯实 
hang2 杭 航 亢 吭 行 绗 颃 
hang2#ban1 航班 
hang2#biao1 航标 
hang2#ce4 航测 
hang2#cheng2 航程 
hang2#chuan2 航船 
hang2#ci4 航次 
hang2#dang5 行当 
hang2#dao4 航道 
hang2#gui1 行规 
hang2#hai3 航海 
hang2#hang2 行行 
hang2#hua4 行话 
hang2#jia1 行家 
hang2#jia1#hu2 杭嘉湖 
hang2#jia1#li3#shou3 行家里手 
hang2#jiang1 行将 
hang2#kong1 航空 
hang2#kong1#bing1 航空兵 
hang2#kong1#fa3 航空法 
hang2#kong1#gang3 航空港 
hang2#kong1#gong1#si1 航空公司 
hang2#kong1#mu3#jian4 航空母舰 
hang2#kong1#qi4 航空器 
hang2#lie4 行列 
hang2#lu4 航路 
hang2#mu3 航母 
hang2#qing2 行情 
hang2#shi4 行市 
hang2#tian1 航天 
hang2#tian1#fei1#ji1 航天飞机 
hang2#tian1#qi4 航天器 
hang2#tou5 行头 
hang2#xian4 航线 
hang2#xiang4 航向 
hang2#xing2 航行 
hang2#ye4 行业 
hang2#yun4 航运 
hang2#zhang3 行长 
hang2#zhou1 杭州 
hang2#zhou1#wan1 杭州湾 
hang4 巷 行 沆 
hang4#dao4 巷道 
hao1 好 蒿 薅 
hao2 壕 嚎 豪 毫 号 貉 嗥 濠 蚝 
hao2#bu2#ke4#qi5 毫不客气 
hao2#bu4 毫不 
hao2#bu4#chi2#yi2 毫不迟疑 
hao2#bu4#dong4#yao2 毫不动摇 
hao2#bu4#liu2#qing2 毫不留情 
hao2#bu4#you2#yu4 毫不犹豫 
hao2#fang4 豪放 
hao2#hua2 豪华 
hao2#hua2#xing2 豪华型 
hao2#jie2 豪杰 
hao2#ke4 毫克 
hao2#mai4 豪迈 
hao2#mi3 毫米 
hao2#qi4 豪气 
hao2#qing2 豪情 
hao2#shuang3 豪爽 
hao2#wu2 毫无 
hao2#wu2#yi2#wen4 毫无疑问 
hao2#yan2#zhuang4#yu3 豪言壮语 
hao3 郝 好 
hao3#a5 好啊 
hao3#ban4 好办 
hao3#bi3 好比 
hao3#bu4 好不 
hao3#bu4#rong2#yi4 好不容易 
hao3#chang2 好长 
hao3#chi1 好吃 
hao3#chu4#fei4 好处费 
hao3#chu5 好处 
hao3#dai3 好歹 
hao3#dong1#xi1 好东西 
hao3#duan1#duan1 好端端 
hao3#duo1 好多 
hao3#e4 好恶 
hao3#fang1#fa3 好方法 
hao3#gan3 好感 
hao3#guo4 好过 
hao3#han4 好汉 
hao3#hao3 好好 
hao3#hua4 好话 
hao3#huai4 好坏 
hao3#ji2#le5 好极了 
hao3#ji3 好几 
hao3#jiao4 好觉 
hao3#jing3 好景 
hao3#jiu3 好久 
hao3#kan4 好看 
hao3#lai2#wu4 好莱坞 
hao3#ma3 好马 
hao3#peng2#you5 好朋友 
hao3#ping2 好评 
hao3#qi3#lai2 好起来 
hao3#qiu2 好球 
hao3#ren2 好人 
hao3#ri4#zi5 好日子 
hao3#rong2#yi4 好容易 
hao3#sheng1 好生 
hao3#shi3 好使 
hao3#shi4 好事 
hao3#shou3 好手 
hao3#shou4 好受 
hao3#shu1 好书 
hao3#shuo1 好说 
hao3#si4 好似 
hao3#ting1 好听 
hao3#tou2 好头 
hao3#wan2 好玩 
hao3#wang4#jiao3 好望角 
hao3#xi4 好戏 
hao3#xiang4 好像 
hao3#xiao4 好笑 
hao3#xie1 好些 
hao3#xin1 好心 
hao3#xin1#ren2 好心人 
hao3#yang4#de5 好样的 
hao3#yi4 好意 
hao3#yong4 好用 
hao3#you3 好友 
hao3#yun4 好运 
hao3#zai4 好在 
hao3#zhao3 好找 
hao3#zhuan3 好转 
hao3#zou3 好走 
hao4 镐 好 耗 号 浩 灏 昊 皓 颢 
hao4#cheng1 号称 
hao4#da4 浩大 
hao4#da4#xi3#gong1 好大喜功 
hao4#dang4 浩荡 
hao4#dian4 耗电 
hao4#dong4 好动 
hao4#fei4 耗费 
hao4#han4 浩瀚 
hao4#hao4 浩浩 
